Organization, Amount Submitted ," Total Eligible Payment (includes bonuses and side funds, not direct funds) ", Match Amount Approved , Bonus Amount Approved , Jonathan Logan Family Foundation (side fund , Rita Allen (side fund) , Wyncote (direct) , Zellerbach (direct) , Gates Family Foundation/Colorado Media Project (direct)  ,Goal-Based Bonus 1 (100 new individual donors), Bonus 1 ,Goal-Based Bonus 2 (individual donors increase 2017 vs 2018), Bonus 2 ,Goal-Based Bonus 3 (NewsMatch cap increase 2017 vs 2018 ), Bonus 3 ,Primary Contact Name:,Primary Contact Email:,Primary Contact Phone Number:,Street Address:,City:,State:,Zip Code:,What is your EIN?,Fiscal Sponsor - Organization Name,Fiscal Sponsor - EIN,Fiscal Sponsor - Primary Contact Name,Fiscal Sponsor - Primary Contact Email,Fiscal Sponsor - Mailing Address,Fiscal Sponsor - Website,,,,,,
Brown Impact Media Group/Flint Beat," $5,793.81 "," $8,293.81 "," $5,793.81 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Jiquanda Johnson,editor@flintbeat.com,(810) 447-0676,4119 N. Saginaw Street,Flint,MI,48505,,Sylvester Broome Empowerment Village,475271086,Maryum Rasool,maryum@sbev.org,"4119 N. Saginaw Street, Flint MI 48505",www.sbev.org,,,,,,
California Health Report, $204.95 , $409.90 , $204.95 , $204.95 , $-   , $-   , $-   , $-   , $-   , No , $-   , Yes , $204.95 , No , $-   ,Heather Tirado Gilligan,heather@calhealthreport.org,(415) 260-6397,"610 16th St, #M24",Oakland,CA,94612,,Tides,541774039,Michael Chasnow,mchasnow@tides.org,"PO Box 29907, San Francisco, CA 94129",tides.org,,,,,,
CALmatters," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Marcia Parker,marcia@calmatters.org,925-518-9882,"1017 L St, #261",Sacramento,CA,95814,472474086,,,,,,,,,,,,
Capital of Texas Media Foundation," $4,422.00 "," $4,422.00 "," $4,422.00 ", $-   , $-   , $-   , $-   , $-   , $-   , No , $-   , No , $-   , No , $-   ,Elizabeth Pagano,publisher@austinmonitor.com,(512) 731-9970,PO BOX 867,Austin,TX,78767,463398438,,,,,,,,,,,,
Carolina Public Press," $25,000.00 "," $35,800.00 "," $25,000.00 "," $5,000.00 "," $5,800.00 ", $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ",Angie Newsome,angienewsome@gmail.com,(828) 774-5290,"50 S. French Broad Ave., Suite 234",Asheville,NC,28801,460801080,,,,,,,,,,,,
Cascade Public Media/Crosscut," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Beth Topping ,btopping@kcts9.org,206-443-6768,401 Mercer St.,Seattle,WA,98109,911221895,,,,,,,,,,,,
Center for Public Integrity," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Abeo Venzor,avenzor@publicintegrity.org,(202) 481-1267,"910 17th Street, NW, 7th floor",Washington,DC,20006,541512177,,,,,,,,,,,,
Center for Responsive Politics," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Jennifer Barrett,jbarrett@crp.org,(202) 857-0044,1300 L Street NW Suite 200,Washington,DC,20005,521275227,,,,,,,,,,,,
Center for Sustainable Journalism," $24,210.25 "," $37,510.25 "," $24,210.25 "," $7,500.00 "," $5,800.00 ", $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", Yes ," $2,500.00 ",Chelsey Tabakian Odom,ctodom@csjournalism.org,(470) 578-2975,"1000 Chastain Road Bldg 300, Suite310",Kennesaw,GA,30144,237034345,,,,,,,,,,,,
Centro de Periodismo Investigativo," $25,000.00 "," $42,300.00 "," $25,000.00 "," $7,500.00 "," $5,800.00 "," $4,000.00 ", $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", Yes ," $2,500.00 ",Rigel Lugo,admin@periodismoinvestigativo.com,787-529-0682,PO Box 6834,San Juan,PR,00914,660705065,,,,,,,,,,,,
Chalkbeat," $25,000.00 "," $30,800.00 "," $25,000.00 ", $-   ," $5,800.00 ", $-   ," $5,000.00 ", $-   ," $1,500.00 ", N/A , $-   , N/A , $-   , N/A , $-   ,Alison Go,ago@chalkbeat.org,516-318-6403,1239 Broadway #703B,New York,NY,10001,900915846,,,,,,,,,,,,
"Chapman Hyperlocal Media, Inc."," $22,593.90 "," $25,093.90 "," $22,593.90 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Bob Welsh,rlw14@yahoo.com,203-919-2057,PO Box 525,Norwalk,CT,06852,465509772,,,,,,,,,,,,
Charlottesville Tomorrow," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , No , $-   , No , $-   , N/A , $-   ,Giles Morris,gmorris@cvilletomorrow.org,434-260-1533,PO Box 1591,Charlottesville,VA,22902,203013557,,,,,,,,,,,,
City Bureau NFP," $16,898.10 "," $19,398.10 "," $16,898.10 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", No , $-   ,Harry Backlund,harry@citybureau.org,651-428-7716,6100 S Blackstone Ave,Chicago,IL,60637,811054499,,,,,,,,,,,,
City Limits," $25,000.00 "," $27,500.00 "," $25,000.00 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , No , $-   , Yes ," $2,500.00 ",Adina Berliant-McDougall,adina@citylimits.org,(646) 693-4459,8 W 126th St. 3rd Floor,New York,NY,10027,270218689,,,,,,,,,,,,
CivicStory," $20,678.34 "," $20,678.34 "," $20,678.34 ", $-   , $-   , $-   , $-   , $-   , $-   , No , $-   , No , $-   , N/A , $-   ,Susan Haig,sh@CivicStory.org,908-273-8699,18 Edgemont Avenue,Summit,NJ,07901,364740106,,,,,,,,,,,,
Civil Eats," $25,000.00 "," $27,500.00 "," $25,000.00 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Naomi Starkman,editor@civileats.com,(917) 539-3924,"45 West 36th Street, 6th Floor",New York,NY,10018,,Sustainable Markets Foundation,134188834,Jay Halfon,jrh@halfon.com,"45 West 36th Street, 6th Floor",n/a,,,,,,
Conn. Health Investigative Team," $14,507.00 "," $23,507.00 "," $14,507.00 "," $5,000.00 ", $-   ," $4,000.00 ", $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ",Lynne DeLucia,delucia.cthealth@gmail.com,203-215-6373,346 Alden Avenue,New Haven,CT,06515,461068891,,,,,,,,,,,,
Connecticut News Project / Connecticut Mirror," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Bruce Putterman,bputterman@ctmirror.org,(860) 218-6380,36 Russ Street,Hartford,CT,06106,270583046,,,,,,,,,,,,
Current," $14,843.00 "," $14,843.00 "," $14,843.00 ", $-   , $-   , $-   ," $10,000.00 ", $-   , $-   , No , $-   , No , $-   , No , $-   ,Julie Drizin,julie@current.org,301-270-7240 ext 36,"6930 Carroll Avenue, Suite 625",Takoma Park,MD,20912,530196549,,,,,,,,,,,,
Daily Yonder (Center for Rural Strategies)," $25,000.00 "," $35,800.00 "," $25,000.00 "," $5,000.00 "," $5,800.00 ", $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Tim Marema,tim@dailyyonder.com,(865) 748-5736,919 N. Central St.,Knoxville,TN,37917,611379952,,,,,,,,,,,,
Delaware Currents," $6,070.74 "," $6,070.74 "," $6,070.74 ", $-   , $-   , $-   , $-   , $-   , $-   , No , $-   , No , $-   , N/A , $-   ,Meg McGuire,delawarecurrents@gmail.com,845-741-8146,PO Box 306,Port Jervis,NY,12771,475511000,,,,,,,,,,,,
East Lansing Info (ELi)," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Alice Dreger,alicedreger@gmail.com,517-410-8963,621 Sunset Lane,East Lansing,MI,48823,465444564,,,,,,,,,,,,
ecoRI News," $25,000.00 "," $29,000.00 "," $25,000.00 ", $-   , $-   ," $4,000.00 ", $-   , $-   , $-   , No , $-   , No , $-   , N/A , $-   ,Joanna Detz,jo@ecoRI.org,617-785-7369,"10 Davol Sq., Suite 100",Providence,RI,02903,264267233,,,,,,,,,,,,
EdSource," $22,533.00 "," $25,033.00 "," $22,533.00 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , Yes ," $2,500.00 ",Erin Brownfield,ebrownfield@gmail.com,510-433-0421 x125,"436 14th Street, Suite 1005",Oakland,CA,94612,942434900,,,,,,,,,,,,
Energy News Network," $3,817.68 "," $7,635.36 "," $3,817.68 "," $3,817.68 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $1,317.68 ", Yes ," $2,500.00 ",Ken Paulman,paulman@fresh-energy.org,(651) 726-7573,408 St. Peter St Suite 220,Saint Paul,MN,55118,411735501,,,,,,,,,,,,
Ensia," $6,841.94 "," $10,841.94 "," $6,841.94 ", $-   , $-   ," $4,000.00 ", $-   , $-   , $-   , No , $-   , No , $-   , No , $-   ,Todd Reubold,todd@ensia.com,612-624-6140,1954 Buford Ave. Suite 325,St. Paul,MN,55108,416042488,,,,,,,,,,,,
FairWarning," $22,802.00 "," $26,802.00 "," $22,802.00 ", $-   , $-   ," $4,000.00 ", $-   , $-   , $-   , No , $-   , No , $-   , No , $-   ,Larry Kaplan,larry.kaplan@fairwarning.org,323.662.9837,55 S. Grand Ave.,Pasadena,CA,91105,264615038,,,,,,,,,,,,
First Look Media Works," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Kate Myers,kate.myers@firstlook.org,(443) 904-0743,"114 Fifth Ave, Fl 18",New York,NY,01011,800951255,,,,,,,,,,,,
Florida Center for Investigative Reporting," $18,491.50 "," $24,291.50 "," $18,491.50 ", $-   ," $5,800.00 ", $-   , $-   , $-   , $-   , No , $-   , No , $-   , No , $-   ,Trevor Aaronson,aaronson@fcir.org,813-421-0195,P.O. Box 7129,St. Petersburg,FL,33734,271187698,,,,,,,,,,,,
Food and Environment Reporting Network," $25,000.00 "," $31,500.00 "," $25,000.00 "," $2,500.00 ", $-   ," $4,000.00 ", $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Thomas Laskawy,toml@thefern.org,(646) 248-6014,"576 Fifth Avenue, Suite 903",New York,NY,10036,274108978,,,,,,,,,,,,
Fostering Media Connections," $25,000.00 "," $32,500.00 "," $25,000.00 "," $7,500.00 ", $-   , $-   , $-   ," $10,000.00 ", $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", Yes ," $2,500.00 ",Victoria Rocha,victoria@fosteringmediaconnections.org,(213) 265-7707,"412 W. 6th Street, Ste 925",Los Angeles,CA,90014,453860344,,,,,,,,,,,,
Frontier Media Group," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Robert Lorton,bobbylorton@icloud.com,(918) 850-2900,12117 south 12th court,jenks,OK,74037,814620550,,,,,,,,,,,,
Futuro Media Group," $25,000.00 "," $27,500.00 "," $25,000.00 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Erika Dilday,erika@futuromediagroup.org,(917) 816-3827,"361 W. 125th St., 6th Floor",New York,NY,10027,272077349,,,,,,,,,,,,
Georgia Health News," $3,235.00 "," $6,470.00 "," $3,235.00 ", $-   ," $3,235.00 ", $-   , $-   , $-   , $-   , No , $-   , No , $-   , N/A , $-   ,Patty Gregory,patty@hlstrategy.com,678-613-2511,2635 Rangewood Court,Atlanta,GA,30345,273543332,,,,,,,,,,,,
Getting the Word Out Inc," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Tracy Ormsbee,tracy@adirondackexplorer.org,5188919352 x21,36 Church St,Saranac Lake,NY,12983,141781617,,,,,,,,,,,,
Grist," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Jess Alvarado-Lepine,jlepine@grist.org,206) 876-3162,"1201 Western Ave, Suite 410",Seattle,WA,98101,61664153,,,,,,,,,,,,
Hidden City Philadelphia of CultureTrust," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   ," $10,000.00 ", $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Peter Woodall,pwoodall@hiddencityphila.org,(267) 259-7112,"1315 Walnut Street, Suite 320",Philadelphia,PA,19107,,CultureTrust of Greater Philadelphia,463109411,Jamaine Smith,jsmith@cultureworksphila.org,"1315 Walnut Street, Suite 320",http://www.culturetrustphila.org,,,,,,
High Country News," $25,000.00 "," $30,800.00 "," $25,000.00 ", $-   ," $5,800.00 ", $-   , $-   , $-   ," $1,500.00 ", N/A , $-   , N/A , $-   , N/A , $-   ,Laurie Milford,lauriem@hcn.org,(970) 527-4898,P. O. Box 1090,Paonia,CO,81428,237015336,,,,,,,,,,,,
Highlands Current Inc.," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Christine Bockelmann,bockelmann@aol.com,347-420-2860,161 Main St.,Cold Spring,NY,10516,454403312,,,,,,,,,,,,
Honolulu Civil Beat," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Ben Nishimoto,bnishimoto@civilbeat.org,(808) 738-6609,3465 Waialae Avenue #200,Honolulu,HI,96816,812803662,,,,,,,,,,,,
Hummel Report," $17,878.66 "," $22,878.66 "," $17,878.66 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ",Bill Felkner,bill@hummelreport.org,(401) 474-1893,PO Box 2412,Providence,RI,02906,271082213,,,,,,,,,,,,
inewsource," $25,000.00 "," $27,500.00 "," $25,000.00 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Loretta Hearn,loriehearn@inewsource.org,(619) 594-5100,"5500 Campanile Drive, PSFA 361C",San Diego,CA,92182,270732786,,,,,,,,,,,,
Injustice Watch," $25,000.00 "," $27,500.00 "," $25,000.00 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Amanda Miley,amandamiley@injusticewatch.org,(815) 979-6731,321 N. Clark St. Suite 2501,Chicago,IL,60654,474537172,,,,,,,,,,,,
InsideClimate News," $25,000.00 "," $34,000.00 "," $25,000.00 "," $5,000.00 ", $-   ," $4,000.00 ", $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,David Sassoon,sassoon.david@gmail.com,617-967-5184,16 Court Street #2307,Brooklyn,NY,11241,562451141,,,,,,,,,,,,
"Insider Media Group, Inc."," $25,000.00 "," $27,500.00 "," $25,000.00 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Brian Eichenberger,brian.eichenberger@insiderlouisville.com,(502) 417-0069,"200 S 5th Street, Ste 300 North",Louisville,KY,40202,823431454,,,,,,,,,,,,
Institute for Public Affairs dba In These Times," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Jamie Hendry ,jamie@inthesetimes.com,(773) 772-0100,2040 N. Milwaukee Ave.,Chicago,IL,60647,942889692,,,,,,,,,,,,
International Consortium of Investigative Journalists," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Caitlin Ginley Sigal,cginley@icij.org,202-800-0160,910 17th St. NW Suite 410,Washington,DC,20006,814739107,,,,,,,,,,,,
InvestigateWest," $25,000.00 "," $34,000.00 "," $25,000.00 "," $5,000.00 ", $-   ," $4,000.00 ", $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ",Robert McClure,rmcclure@invw.org,206-718-0340,PO Box 9574,Seattle,WA,98109,270170663,,,,,,,,,,,,
Investigative Post," $25,000.00 "," $30,000.00 "," $25,000.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Jim Heaney,jheaney@investigativepost.org,716-831-2626 x 1,"487 Main St., Suite 300",Buffalo,NY,14203,453844514,,,,,,,,,,,,
Investigative Reporting Workshop," $6,261.00 "," $11,261.00 "," $6,261.00 "," $5,000.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ",Nancy Sturm,nsturm@american.edu,202-885-3601,"4400 Massachusetts Ave., NW,  McKinley Room 112",Washington,DC,20016,530196549,,,,,,,,,,,,
Iowa Center for Public Affairs Journalism," $22,187.95 "," $24,687.95 "," $22,187.95 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , No , $-   , Yes ," $2,500.00 ",Lyle Muller,lyle-muller@iowawatch.org,319-389-4477,PO Box 2178,Iowa City,IA,52244,271942963,,,,,,,,,,,,
KCUR-FM," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Nico Leone,nico@kcur.org,(816) 235-2886,"4825 Troost, Ste 202",Kansas City,MO,64110,436003859,,,,,,,,,,,,
Kentucky Center for Investigative Reporting," $25,000.00 "," $35,800.00 "," $25,000.00 "," $5,000.00 "," $5,800.00 ", $-   , $-   , $-   , $-   , Yes ," $2,500.00 ", Yes ," $2,500.00 ", N/A , $-   ,Kate Howard,khoward@kycir.org,502-814-6546,619 S. 4th St.,Louisville,KY,40202,611259787,,,,,,,,,,,,
KPBS," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , N/A , $-   , N/A , $-   , N/A , $-   ,Linda Ball,lball@kpbs.org,619-594-5318,5200 Campanile Drive,San Diego,CA,92182,956042721,,,,,,,,,,,,
KyForward.com," $2,958.00 "," $5,458.00 "," $2,958.00 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Jacob Clabes,jacob@kyforward.com,859-802-9039,644 Braddock Court,Edgewood,KY,41017,463464828,,,,,,,,,,,,
Linking Community Now Inc. / lkldnow.com," $13,521.36 "," $16,021.36 "," $13,521.36 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Barry Friedman,barry@lkldnow.com,863-797-7198,"331 S. Florida Ave., basement",Lakeland,FL,33801,474796912,,,,,,,,,,,,
"Lower Cape Community Access Television, Inc."," $6,662.12 "," $9,162.12 "," $6,662.12 "," $2,500.00 ", $-   , $-   , $-   , $-   , $-   , No , $-   , Yes ," $2,500.00 ", N/A , $-   ,Teresa Martin,tmartin@lowercapetv.org,508 344 4362,"10 Cable Rd., Building B",Eastham,MA,02642,272812706,,,,,,,,,,,,
Madison365," $4,480.75 "," $4,480.75 "," $4,480.75 ", $-   , $-   , $-   , $-   , $-   , $-   , No , $-   , No , $-   , No , $-   ,Robert G Chappell,rchappell@madison365.org,(608) 334-7829,PO Box 842,Madison,WI,53701,474608248,,,,,,,,,,,,
Maine Center for Public Interest Reporting," $25,000.00 "," $25,000.00 "," $25,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   , No , $-   , No , $-   , N/A , $-   ,Daniel Dinsmore,dan@pinetreewatch.org,(207) 632-6881,111 Sewall Street,Augusta,ME,04330,272623867,,,,,,,,,,,,
