,organization,city,county,state,lat_long,latitude,longitude
1920,Herald-Enterprise,Golconda,Pope,IL,"[17.383309, 78.4010528]",17.383309,78.4010528
1921,Henry News Republican,Henry,Marshall,IL,"[36.1036582, -95.9350396]",36.1036582,-95.9350396
1922,Hardin County Independent,Elizabethtown,Hardin,IL,"[0.0, 0.0]",0.0,0.0
1923,Hancock County Quill,La Harpe,Hancock,IL,"[40.5833749, -90.96930569999999]",40.5833749,-90.96930569999999
1924,Hancock County Journal-Pilot,Carthage,Hancock,IL,"[36.8529199, 10.3217245]",36.8529199,10.3217245
1925,Greenup Press,Greenup,Cumberland,IL,"[38.5731349, -82.83016769999999]",38.5731349,-82.83016769999999
1926,Greene Prairie Press,Carrollton,Greene,IL,"[32.9756415, -96.8899636]",32.9756415,-96.8899636
1927,Lake County Journal,Grayslake,Lake,IL,"[42.34446639999999, -88.04174599999999]",42.34446639999999,-88.04174599999999
1928,Golden-Clayton New Era,Camp Point,Adams,IL,"[40.0392139, -91.0693041]",40.0392139,-91.0693041
1929,Golden Prairie News,Assumption,Christian,IL,"[38.5001433, -90.35998649999999]",38.5001433,-90.35998649999999
1930,Glenview Announcements,Chicago,Cook,IL,"[41.8781136, -87.6297982]",41.8781136,-87.6297982
1931,Glencoe News,Chicago,Cook,IL,"[41.8781136, -87.6297982]",41.8781136,-87.6297982
1932,South County News,Gillespie,Macoupin,IL,"[39.1297692, -89.81954069999999]",39.1297692,-89.81954069999999
1933,DeKalb County News,Sycamore,DeKalb,IL,"[37.3270085, -95.7155358]",37.3270085,-95.7155358
1934,Geneva Republican,Geneva,Kane,IL,"[46.2043907, 6.1431577]",46.2043907,6.1431577
1935,Gazette-News,Bunker Hill,Macoupin,IL,"[42.3763541, -71.0607764]",42.3763541,-71.0607764
1936,Galva News,Galva,Henry,IL,"[41.167537, -90.0426136]",41.167537,-90.0426136
1937,Fulton Journal,Fulton,Whiteside,IL,"[38.84670819999999, -91.94795859999999]",38.84670819999999,-91.94795859999999
1938,Fulton Democrat,Lewistown,Fulton,IL,"[40.5992395, -77.571382]",40.5992395,-77.571382
1939,Free Press-Progress,Nokomis,Montgomery,IL,"[27.1192213, -82.4442629]",27.1192213,-82.4442629
1940,Franklin Park Herald-Journal,Franklin Park,Cook,IL,"[41.9348537, -87.87952299999999]",41.9348537,-87.87952299999999
1941,Forreston Journal,Forreston,Ogle,IL,"[42.1261367, -89.57928009999999]",42.1261367,-89.57928009999999
1942,Forest Park Review,Forest Park,Cook,IL,"[38.644081, -90.283466]",38.644081,-90.283466
1943,River Forest Leaves,Chicago,Cook,IL,"[41.8781136, -87.6297982]",41.8781136,-87.6297982
1944,Farmers Weekly Review,Joliet,Will,IL,"[41.525031, -88.0817251]",41.525031,-88.0817251
1945,Farina News,Farina,Fayette,IL,"[39.0901774, -94.58457179999999]",39.0901774,-94.58457179999999
1946,Evergreen Park Courier,Midlothian,Cook,IL,"[32.482361, -96.9944489]",32.482361,-96.9944489
1947,Evanston Review,Chicago,Cook,IL,"[41.8781136, -87.6297982]",41.8781136,-87.6297982
1948,Elmwood Park Leaves,Chicago,Cook,IL,"[41.8781136, -87.6297982]",41.8781136,-87.6297982
1949,Edison-Norwood Times Review,Park Ridge,Cook,IL,"[42.0111412, -87.84061919999999]",42.0111412,-87.84061919999999
1950,East Peoria Times-Courier,Peoria,Tazewell,IL,"[40.6936488, -89.5889864]",40.6936488,-89.5889864
1951,Des Plaines Valley News,Summit,Cook,IL,"[36.1505795, -95.9908264]",36.1505795,-95.9908264
1952,Deerfield Review,Chicago,Lake,IL,"[41.8781136, -87.6297982]",41.8781136,-87.6297982
1953,Decatur Tribune,Decatur,Macon,IL,"[33.7748275, -84.2963123]",33.7748275,-84.2963123
1954,Countryside Suburban Life,Countryside,Cook,IL,"[41.766022, -87.87952299999999]",41.766022,-87.87952299999999
1955,Collinsville Herald Journal,Collinsville,Madison,IL,"[38.6703266, -89.9845476]",38.6703266,-89.9845476
1956,Clinton County News,Mascoutah,De Witt,IL,"[38.490327, -89.793154]",38.490327,-89.793154
1957,Chicago's Northwest Side Press,Chicago,Cook,IL,"[41.8781136, -87.6297982]",41.8781136,-87.6297982
1958,Chicago Ridge Citizen,Midlothian,Cook,IL,"[32.482361, -96.9944489]",32.482361,-96.9944489
1959,Chicago Independent Bulletin,Chicago,Cook,IL,"[41.8781136, -87.6297982]",41.8781136,-87.6297982
1960,Chatham Clarion,Chatham,Sangamon,IL,"[41.6820897, -69.95976639999999]",41.6820897,-69.95976639999999
1961,Cass County Star-Gazette,Beardstown,Cass,IL,"[40.0175483, -90.42429159999999]",40.0175483,-90.42429159999999
1962,Carroll County Review,Thomson,Carroll,IL,"[37.32108849999999, -95.26461560000001]",37.32108849999999,-95.26461560000001
1963,Carol Stream Press,Carol Stream,DuPage,IL,"[41.91252859999999, -88.13479269999999]",41.91252859999999,-88.13479269999999
1964,Geneseo Republic,Geneseo,Henry,IL,"[42.795896, -77.816947]",42.795896,-77.816947
1965,Calhoun News-Herald,Hardin,Calhoun,IL,"[41.6624153, -91.5475745]",41.6624153,-91.5475745
1966,Cairo Citizen,Cairo,Alexander,IL,"[30.0444196, 31.2357116]",30.0444196,31.2357116
1967,Bureau County Republican,Princeton,Bureau,IL,"[40.3430942, -74.65507389999999]",40.3430942,-74.65507389999999
1968,Buffalo Grove Countryside,Chicago,Lake,IL,"[41.8781136, -87.6297982]",41.8781136,-87.6297982
1969,Bridgeview Independent,Midlothian,Cook,IL,"[32.482361, -96.9944489]",32.482361,-96.9944489
1970,Braidwood Journal,Braidwood,Will,IL,"[41.2650318, -88.21228230000001]",41.2650318,-88.21228230000001
1971,Bolingbrook Suburban Life,Downers Grove,Will,IL,"[41.8089191, -88.01117459999999]",41.8089191,-88.01117459999999
1972,Blue Mound Leader,Blue Mound,Macon,IL,"[32.8565166, -97.3389061]",32.8565166,-97.3389061
1973,Beverly Review,Chicago,Cook,IL,"[41.8781136, -87.6297982]",41.8781136,-87.6297982
1974,Beecher Herald,Beecher City,Effingham,IL,"[39.1880983, -88.7867278]",39.1880983,-88.7867278
1975,Beecher City Journal,Beecher City,Effingham,IL,"[39.1880983, -88.7867278]",39.1880983,-88.7867278
1976,Barrington Courier-Review,Glenview,Cook,IL,"[42.0778065, -87.8223368]",42.0778065,-87.8223368
1977,Auburn Citizen,Auburn,Sangamon,IL,"[32.6098566, -85.48078249999999]",32.6098566,-85.48078249999999
1978,Arcola Record-Herald,Arcola,Douglas,IL,"[39.684755, -88.30643669999999]",39.684755,-88.30643669999999
1979,Alsip Express,Aslip,Cook,IL,"[0.0, 0.0]",0.0,0.0
1980,Abingdon Argus-Sentinel,Abingdon,Knox,IL,"[36.70983349999999, -81.9773482]",36.70983349999999,-81.9773482
1981,Reporter,Worth,Cook,IL,"[41.6897548, -87.79727539999999]",41.6897548,-87.79727539999999
1982,Nashville News,Nashville,Washington,IL,"[36.1626638, -86.7816016]",36.1626638,-86.7816016
1983,Tempo,Byron,Winnebago,IL,"[37.0533656, -94.5263755]",37.0533656,-94.5263755
1984,Reporter Journal The,Chicago,Cook,IL,"[41.8781136, -87.6297982]",41.8781136,-87.6297982
1985,Prairie Advocate,Lanark,Carroll,IL,"[55.673865, -3.782138]",55.673865,-3.782138
1986,Herald,Rockton,Winnebago,IL,"[42.4525157, -89.07233169999999]",42.4525157,-89.07233169999999
1987,Courier,Washington,Tazewell,IL,"[47.7510741, -120.7401385]",47.7510741,-120.7401385
1988,Morton Courier The,Morton,Tazewell,IL,"[36.1743875, -95.98140769999999]",36.1743875,-95.98140769999999
1989,Chronicle,Hoopeston,Vermilion,IL,"[40.4672587, -87.6683573]",40.4672587,-87.6683573
1990,Bridgeport News,Chicago,Lawrence,IL,"[41.8781136, -87.6297982]",41.8781136,-87.6297982
1991,Metropolis Planet,Metropolis,Massac,IL,"[29.72807359999999, -95.5213507]",29.72807359999999,-95.5213507
1992,Greenville Advocate,Greenville,Bond,IL,"[34.85261759999999, -82.3940104]",34.85261759999999,-82.3940104
1993,Elburn Herald,St Charles,Kane,IL,"[38.7881062, -90.4974359]",38.7881062,-90.4974359
1994,Breese Journal,Breese,Clinton,IL,"[38.6106042, -89.52703059999999]",38.6106042,-89.52703059999999
1995,Boone County Journal,Belvidere,Boone,IL,"[42.2639098, -88.84426739999999]",42.2639098,-88.84426739999999
1996,Ashton Gazette,Ashton,Lee,IL,"[37.09024, -95.712891]",37.09024,-95.712891
1997,Times-Republic,Watseka,Iroquois,IL,"[40.7761465, -87.7364218]",40.7761465,-87.7364218
1998,Paxton Record,Paxton,Ford,IL,"[40.4603125, -88.0953201]",40.4603125,-88.0953201
1999,Daily Record,Lawrenceville,Lawrence,IL,"[40.3016375, -74.7361013]",40.3016375,-74.7361013
2000,Eldorado Daily Journal,Harrisburg,Saline,IL,"[40.2731911, -76.8867008]",40.2731911,-76.8867008
2001,Lake County News-Sun The,Gurnee,Lake,IL,"[42.3702996, -87.90201859999999]",42.3702996,-87.90201859999999
2002,Taylorville Daily Breeze-Courier,Taylorville,Christian,IL,"[39.548935, -89.294533]",39.548935,-89.294533
2003,Star Courier,Kewanee,Henry,IL,"[41.2455927, -89.9248303]",41.2455927,-89.9248303
2004,State Journal-Register The,Springfield,Sangamon,IL,"[37.2089572, -93.29229889999999]",37.2089572,-93.29229889999999
2005,Southern Illinoisan The,Carbondale,Jackson,IL,"[37.7272727, -89.2167501]",37.7272727,-89.2167501
2006,Rockford Register Star,Rockford,Winnebago,IL,"[42.2711311, -89.0939952]",42.2711311,-89.0939952
2007,Daily News,Robinson,Crawford,IL,"[37.09024, -95.712891]",37.09024,-95.712891
2008,Quincy Herald-Whig,Quincy,Adams,IL,"[42.2528772, -71.0022705]",42.2528772,-71.0022705
2009,Pontiac Daily Leader,Pontiac,Livingston,IL,"[36.1811583, -94.13855679999999]",36.1811583,-94.13855679999999
2010,Journal Star,Peoria,Peoria,IL,"[40.6936488, -89.5889864]",40.6936488,-89.5889864
2011,Pekin Daily Times,Pekin,Tazewell,IL,"[40.5675388, -89.640658]",40.5675388,-89.640658
2012,Times,Ottawa,La Salle,IL,"[45.4215296, -75.69719309999999]",45.4215296,-75.69719309999999
2013,Olney Daily Mail,Olney,Richland,IL,"[39.1531627, -77.066923]",39.1531627,-77.066923
2014,Northwest Herald,Crystal Lake,McHenry,IL,"[42.2411344, -88.31619649999999]",42.2411344,-88.31619649999999
2015,Morris Herald-News,Morris,Grundy,IL,"[45.5919444, -95.9188889]",45.5919444,-95.9188889
2016,Dispatch The,Moline,Rock Island,IL,"[41.5067003, -90.51513419999999]",41.5067003,-90.51513419999999
2017,Mattoon Journal-Gazette,Mattoon,Coles,IL,"[39.48308970000001, -88.37282549999999]",39.48308970000001,-88.37282549999999
2018,Marion Daily Republican The,Marion,Williamson,IL,"[37.7306054, -88.9331256]",37.7306054,-88.9331256
2019,McDonough County Voice The,Macomb,McDonough,IL,"[42.7168759, -82.82097399999999]",42.7168759,-82.82097399999999
2020,Courier The,Lincoln,Logan,IL,"[35.949526, -94.4235482]",35.949526,-94.4235482
2021,News-Tribune,La Salle,La Salle,IL,"[40.0387561, -75.15663219999999]",40.0387561,-75.15663219999999
2022,Kane County Chronicle,Geneva,Kane,IL,"[46.2043907, 6.1431577]",46.2043907,6.1431577
2023,Herald-News,Joliet,Will,IL,"[41.525031, -88.0817251]",41.525031,-88.0817251
2024,Jacksonville Journal-Courier,Jacksonville,Morgan,IL,"[30.3321838, -81.65565099999999]",30.3321838,-81.65565099999999
2025,Register-Mail The,Galesburg,Knox,IL,"[40.94781580000001, -90.3712395]",40.94781580000001,-90.3712395
2026,Journal-Standard The,Freeport,Stephenson,IL,"[28.9541368, -95.35966169999999]",28.9541368,-95.35966169999999
2027,Courier-News,Aurora,Kane,IL,"[36.970891, -93.717979]",36.970891,-93.717979
2028,Effingham Daily News,Effingham,Effingham,IL,"[39.1200418, -88.5433829]",39.1200418,-88.5433829
2029,Edwardsville Intelligencer,Edwardsville,Madison,IL,"[38.8114364, -89.95315699999999]",38.8114364,-89.95315699999999
2030,Du Quoin Evening Call,Du Quoin,Perry,IL,"[38.0114393, -89.2361935]",38.0114393,-89.2361935
2031,Telegraph,Dixon,Lee,IL,"[38.4454641, -121.8232958]",38.4454641,-121.8232958
2032,"Herald and Review, Decatur",Decatur,Macon,IL,"[33.7748275, -84.2963123]",33.7748275,-84.2963123
2033,Commercial-News,Danville,Vermilion,IL,"[37.8215929, -121.9999606]",37.8215929,-121.9999606
2034,Daily Union,Shelbyville,Shelby,IL,"[39.5214373, -85.7769238]",39.5214373,-85.7769238
2035,Southtown Star,Tinley Park,Cook,IL,"[41.5731442, -87.7932939]",41.5731442,-87.7932939
2036,Daily Review Atlas,Monmouth,Warren,IL,"[40.2802758, -74.0054114]",40.2802758,-74.0054114
2037,Mt Carmel Register,Mount Carmel,Wabash,IL,"[37.69484449999999, -97.2381583]",37.69484449999999,-97.2381583
2038,Daily Ledger,Canton,Fulton,IL,"[23.12911, 113.264385]",23.12911,113.264385
2039,Daily Journal The,Kankakee,Kankakee,IL,"[41.1200325, -87.8611531]",41.1200325,-87.8611531
2040,Daily Gazette,Sterling,Whiteside,IL,"[37.09024, -95.712891]",37.09024,-95.712891
2041,Advocate Press,Flora,Clay,IL,"[36.7014726, -95.63801269999999]",36.7014726,-95.63801269999999
2042,Daily Chronicle,DeKalb,DeKalb,IL,"[41.9294736, -88.75036469999999]",41.9294736,-88.75036469999999
2043,Clinton Journal,Clinton,De Witt,IL,"[38.3686324, -93.7782689]",38.3686324,-93.7782689
2044,Chicago Tribune,Chicago,Cook,IL,"[41.8781136, -87.6297982]",41.8781136,-87.6297982
2045,Chicago Sun-Times,Chicago,Cook,IL,"[41.8781136, -87.6297982]",41.8781136,-87.6297982
2046,Daily Herald,Arlington Heights,Cook,IL,"[42.0883603, -87.98062650000001]",42.0883603,-87.98062650000001
2047,Charleston Times-Courier,Charleston,Coles,IL,"[32.7764749, -79.93105120000001]",32.7764749,-79.93105120000001
2048,News-Gazette,Champaign,Champaign,IL,"[40.1164204, -88.2433829]",40.1164204,-88.2433829
2049,Morning Sentinel,Centralia,Marion,IL,"[40.8042541, -76.3405035]",40.8042541,-76.3405035
2050,Carmi Times,Carmi,White,IL,"[38.0908796, -88.1586488]",38.0908796,-88.1586488
2051,Pantagraph The,Bloomington,McLean,IL,"[39.165325, -86.52638569999999]",39.165325,-86.52638569999999
2052,Benton Evening News,Benton,Franklin,IL,"[37.7889039, -97.1086498]",37.7889039,-97.1086498
2053,Belleville News-Democrat,Belleville,St. Clair,IL,"[38.5200504, -89.9839935]",38.5200504,-89.9839935
2054,Beacon-News The,Chicago,Kane,IL,"[41.8781136, -87.6297982]",41.8781136,-87.6297982
2055,Telegraph,Alton,Madison,IL,"[38.8906038, -90.1842764]",38.8906038,-90.1842764
2056,Northwest News,Huntertown,Allen,IN,"[41.228382, -85.17247259999999]",41.228382,-85.17247259999999
2057,Monroeville News,Monroeville,Allen,IN,"[40.4211798, -79.7881024]",40.4211798,-79.7881024
2058,Hamilton News,Hamilton,Steuben,IN,"[37.19295779999999, -95.7175467]",37.19295779999999,-95.7175467
2059,Herald-Tribune The,Batesville,Ripley,IN,"[39.3000511, -85.222184]",39.3000511,-85.222184
2060,Pendleton Times-Post,Pendleton,Madison,IN,"[36.132395, -95.965205]",36.132395,-95.965205
2061,Harbor Country News,Michigan City,La Porte,IN,"[41.70753939999999, -86.8950297]",41.70753939999999,-86.8950297
2062,Loogootee Tribune,Loogootee,Martin,IN,"[38.6769945, -86.9141695]",38.6769945,-86.9141695
2063,Nuvo,Indianapolis,Marion,IN,"[39.768403, -86.158068]",39.768403,-86.158068
2064,Indianapolis Recorder,Indianapolis,Marion,IN,"[39.768403, -86.158068]",39.768403,-86.158068
2065,Gary Crusader,Gary,Lake,IN,"[41.6020403, -87.3371523]",41.6020403,-87.3371523
2066,Franklin Township Informer,Indianapolis,Johnson,IN,"[39.768403, -86.158068]",39.768403,-86.158068
2067,Frost Illustrated,Fort Wayne,Allen,IN,"[41.079273, -85.1393513]",41.079273,-85.1393513
2068,The Hendricks County Flyer,Avon,Hendricks,IN,"[36.10512, -95.913989]",36.10512,-95.913989
2069,Review Republican,Attica,Fountain & Warren,IN,"[42.8226861, -78.2703951]",42.8226861,-78.2703951
2070,Herald-News,Cayuga,Vermillion,IN,"[42.9189555, -76.7263397]",42.9189555,-76.7263397
2071,Morocco Courier,Kentland,Grant,IN,"[38.9237227, -76.8799726]",38.9237227,-76.8799726
2072,Huntingburg Press,Huntingburg,Dubois,IN,"[38.2989422, -86.9549971]",38.2989422,-86.9549971
2073,Oak Hill Times,Gas City,Grant,IN,"[40.4872625, -85.6130311]",40.4872625,-85.6130311
2074,Mooresville-Decatur Times The,Mooresville,Morgan,IN,"[35.5859146, -80.8081413]",35.5859146,-80.8081413
2075,Southside Times The,Indianapolis,Marion,IN,"[39.768403, -86.158068]",39.768403,-86.158068
2076,Zionsville Times Sentinel,Zionsville,Boone,IN,"[39.9508733, -86.261937]",39.9508733,-86.261937
2077,Westville Indicator,Westville,La Porte,IN,"[36.1628786, -95.74417679999999]",36.1628786,-95.74417679999999
2078,Wakarusa Tribune,Wakarusa,Elkhart,IN,"[41.5361597, -86.02083340000001]",41.5361597,-86.02083340000001
2079,Vevay Reveille-Enterprise,Vevay,Switzerland,IN,"[38.7478401, -85.0671725]",38.7478401,-85.0671725
2080,Versailles Republican,Versailles,Ripley,IN,"[48.8048649, 2.1203554]",48.8048649,2.1203554
2081,Twin City Journal-Reporter,Gas City,Grant,IN,"[40.4872625, -85.6130311]",40.4872625,-85.6130311
2082,Tribune-News,South Whitley,Whitley,IN,"[41.0847677, -85.62803810000001]",41.0847677,-85.62803810000001
2083,Washington County Edition,Salem,Washington,IN,"[42.51954, -70.8967155]",42.51954,-70.8967155
2084,Switzerland Democrat,Vevay,Switzerland,IN,"[38.7478401, -85.0671725]",38.7478401,-85.0671725
2085,Shoals News,Shoals,Martin,IN,"[32.7839979, -96.78589699999999]",32.7839979,-96.78589699999999
2086,Salem Leader,Salem,Washington,IN,"[42.51954, -70.8967155]",42.51954,-70.8967155
2087,Salem Democrat,Salem,Washington,IN,"[42.51954, -70.8967155]",42.51954,-70.8967155
2088,Rising Sun Recorder,Rising Sun,Ohio,IN,"[41.54062649999999, -87.84990549999999]",41.54062649999999,-87.84990549999999
2089,Pulaski County Journal The,Winamac,Pulaski,IN,"[41.0514299, -86.6030648]",41.0514299,-86.6030648
2090,Progress Examiner,Orleans,Orange,IN,"[47.902964, 1.909251]",47.902964,1.909251
2091,Press-Dispatch The,Petersburg,Pike,IN,"[37.2279279, -77.40192669999999]",37.2279279,-77.40192669999999
2092,Posey County News The,New Harmony,Posey,IN,"[38.1297678, -87.93502989999999]",38.1297678,-87.93502989999999
2093,Ossian Journal,Ossian,Wells,IN,"[40.880603, -85.1663593]",40.880603,-85.1663593
2094,Odon Journal,Odon,Daviess,IN,"[38.8428256, -86.9913959]",38.8428256,-86.9913959
2095,North Vernon Sun,North Vernon,Jennings,IN,"[39.006165, -85.6235796]",39.006165,-85.6235796
2096,Newton County Enterprise,Kentland,Newton,IN,"[38.9237227, -76.8799726]",38.9237227,-76.8799726
2097,New Wolcott Enterprise,Wolcott,White,IN,"[41.6023196, -72.9867718]",41.6023196,-72.9867718
2098,Montpelier Weekly,Montpelier,Blackford,IN,"[38.2188244, -78.1684568]",38.2188244,-78.1684568
2099,Mishawaka Enterprise,Mishawaka,St. Joseph,IN,"[41.6619927, -86.15861559999999]",41.6619927,-86.15861559999999
2100,Middletown News,Middletown,Henry,IN,"[41.5623209, -72.6506488]",41.5623209,-72.6506488
2101,Middlebury Independent,Middlebury,Elkhart,IN,"[44.0153371, -73.16734]",44.0153371,-73.16734
2102,Mail-Journal The,Milford,Kosciusko,IN,"[41.2306979, -73.064036]",41.2306979,-73.064036
2103,Liberty Herald,Liberty,Union,IN,"[37.09024, -95.712891]",37.09024,-95.712891
2104,Leader of Starke County The,Knox,Starke,IN,"[36.7182401, -95.9351092]",36.7182401,-95.9351092
2105,Leader,Charlestown,Clark,IN,"[42.3782065, -71.0602131]",42.3782065,-71.0602131
2106,Jackson County Banner,Brownstown,Jackson,IN,"[42.1261157, -83.2572332]",42.1261157,-83.2572332
2107,Herald-Tribune The,Batesville,Ripley,IN,"[39.3000511, -85.222184]",39.3000511,-85.222184
2108,Greensburg Daily News,Greensburg,Decatur,IN,"[40.3014581, -79.5389289]",40.3014581,-79.5389289
2109,Giveaway The,Scottsburg,Scott,IN,"[38.685614, -85.7702451]",38.685614,-85.7702451
2110,Garrett Clipper,Auburn,De Kalb,IN,"[32.6098566, -85.48078249999999]",32.6098566,-85.48078249999999
2111,Ferdinand News,Ferdinand,Dubois,IN,"[38.2235908, -86.86218029999999]",38.2235908,-86.86218029999999
2112,Culver Citizen The,Plymouth,Marshall,IN,"[41.9584457, -70.6672621]",41.9584457,-70.6672621
2113,Corydon Democrat,Corydon,Harrison,IN,"[38.2120121, -86.1219155]",38.2120121,-86.1219155
2114,Butler Bulletin The,Auburn,De Kalb,IN,"[32.6098566, -85.48078249999999]",32.6098566,-85.48078249999999
2115,Brookville American,Brookville,Franklin,IN,"[41.1611746, -79.0830924]",41.1611746,-79.0830924
2116,Benton Review,Fowler,Benton,IN,"[36.6305058, -119.6784697]",36.6305058,-119.6784697
2117,Banner-Gazette The,Pekin,Washington,IN,"[40.5675388, -89.640658]",40.5675388,-89.640658
2118,Springs Valley Herald,French Lick,Orange,IN,"[38.5489431, -86.61999139999999]",38.5489431,-86.61999139999999
2119,Spencer County Leader,Dale,Spencer,IN,"[37.09024, -95.712891]",37.09024,-95.712891
2120,Spencer County Journal-Democrat,Rockport,Owen,IN,"[32.8685017, -96.7735125]",32.8685017,-96.7735125
2121,South Gibson Star Times,Fort Branch,Gibson,IN,"[38.2511558, -87.5811332]",38.2511558,-87.5811332
2122,Royal Center Record,Royal Center,Cass,IN,"[40.8644849, -86.4997266]",40.8644849,-86.4997266
2123,Remington Press,Rensselaer,Jasper,IN,"[42.673664, -73.55941279999999]",42.673664,-73.55941279999999
2124,Perry County News,Tell City,Perry,IN,"[37.9514447, -86.76776629999999]",37.9514447,-86.76776629999999
2125,Parke County Sentinel,Rockville,Parke,IN,"[39.0839973, -77.1527578]",39.0839973,-77.1527578
2126,Paoli News Republican,Paoli,Orange,IN,"[40.0419021, -75.4876445]",40.0419021,-75.4876445
2127,Osgood Journal,Versailles,Ripley,IN,"[48.8048649, 2.1203554]",48.8048649,2.1203554
2128,North Vernon Plain Dealer,North Vernon,Jennings,IN,"[39.006165, -85.6235796]",39.006165,-85.6235796
2129,New Palestine Press,Greenfield,Hancock,IN,"[39.785043, -85.7694226]",39.785043,-85.7694226
2130,Nappanee Advance News,Nappanee,Elkhart,IN,"[41.4428253, -86.00138749999999]",41.4428253,-86.00138749999999
2131,Mount Vernon Democrat,Mount Vernon,Posey,IN,"[38.707982, -77.0861753]",38.707982,-77.0861753
2132,News and Review,Monon,White,IN,"[39.9108041, -86.13679719999999]",39.9108041,-86.13679719999999
2133,Lafayette Leader,Lafayette,Tippecanoe,IN,"[30.2240897, -92.0198427]",30.2240897,-92.0198427
2134,LaGrange Standard,LaGrange,Lagrange,IN,"[33.0362218, -85.0322444]",33.0362218,-85.0322444
2135,LaGrange News,Lagrange,Lagrange,IN,"[33.0362218, -85.0322444]",33.0362218,-85.0322444
2136,Knightstown Banner,Knightstown,Henry,IN,"[39.7956007, -85.5263629]",39.7956007,-85.5263629
2137,Kankakee Valley Post-News,Demotte,Jasper,IN,"[41.1937181, -87.1986416]",41.1937181,-87.1986416
2138,Herald Republican The,Angola,Steuben,IN,"[-11.202692, 17.873887]",-11.202692,17.873887
2139,Hendricks County Flyer,Avon,Hendricks,IN,"[36.10512, -95.913989]",36.10512,-95.913989
2140,Greenwood and Southside Challenger,Greenwood,Johnson,IN,"[39.6136578, -86.10665259999999]",39.6136578,-86.10665259999999
2141,Francesville Tribune,Francesville,Pulaski,IN,"[40.9853172, -86.8794613]",40.9853172,-86.8794613
2142,Fountain County Neighbor,Attica,Fountain,IN,"[42.8226861, -78.2703951]",42.8226861,-78.2703951
2143,Dunkirk News and Sun,Dunkirk,Jay,IN,"[51.0343684, 2.3767763]",51.0343684,2.3767763
2144,Crown Point Star,Crown Point,Lake,IN,"[41.4169806, -87.3653135]",41.4169806,-87.3653135
2145,Crothersville Times,Crothersville,Jackson,IN,"[38.8006115, -85.8416383]",38.8006115,-85.8416383
2146,Clarion News,Corydon,Harrison,IN,"[38.2120121, -86.1219155]",38.2120121,-86.1219155
2147,Churubusco News,Churubusco,Whitley,IN,"[41.2306034, -85.3194208]",41.2306034,-85.3194208
2148,Carroll County Comet,Flora,Carroll,IN,"[36.7014726, -95.63801269999999]",36.7014726,-95.63801269999999
2149,Brown County Democrat,Nashville,Brown,IN,"[36.1626638, -86.7816016]",36.1626638,-86.7816016
2150,Brook Reporter,Brook,Newton,IN,"[36.1141388, -95.9754926]",36.1141388,-95.9754926
2151,Bremen Enquirer,Bremen,Marshall,IN,"[53.07929619999999, 8.8016936]",53.07929619999999,8.8016936
2152,Bourbon News-Mirror,Plymouth,Marshall,IN,"[41.9584457, -70.6672621]",41.9584457,-70.6672621
2153,Standard The,Boonville,Warrick,IN,"[39.0089749, -123.3671551]",39.0089749,-123.3671551
2154,Berne Witness,Berne,Adams,IN,"[46.9479739, 7.4474468]",46.9479739,7.4474468
2155,Alexandria Times-Tribune,Elwood,Madison,IN,"[40.27698340000001, -85.8419246]",40.27698340000001,-85.8419246
2156,Albion New Era,Albion,Noble,IN,"[40.7433388, -73.9775703]",40.7433388,-73.9775703
2157,Advance Leader The,Kendallville,Noble,IN,"[41.4414384, -85.2649754]",41.4414384,-85.2649754
2158,Weekly,Crawfordsville,Montgomery,IN,"[40.0411536, -86.87445160000001]",40.0411536,-86.87445160000001
2159,Regional News The,Westville,La Porte,IN,"[36.1628786, -95.74417679999999]",36.1628786,-95.74417679999999
2160,Paper,Wabash,Wabash,IN,"[40.797821, -85.8205411]",40.797821,-85.8205411
2161,Clay City News,Clay City,Clay,IN,"[39.2767083, -87.1127908]",39.2767083,-87.1127908
2162,Ellettsville Journal The,Ellettsville,Monroe,IN,"[39.2339348, -86.6250008]",39.2339348,-86.6250008
2163,Morocco Courier,Kentland,Newton,IN,"[38.9237227, -76.8799726]",38.9237227,-76.8799726
2164,News-Journal,North Manchester,Wabash,IN,"[41.0006005, -85.768597]",41.0006005,-85.768597
2165,Dearborn County Register,Lawrenceburg,Dearborn,IN,"[39.090891, -84.8499504]",39.090891,-84.8499504
2166,Journal-Press The,Lawrenceburg,Dearborn,IN,"[39.090891, -84.8499504]",39.090891,-84.8499504
2167,Times The,Noblesville,Hamilton,IN,"[40.0455917, -86.0085955]",40.0455917,-86.0085955
2168,Journal Gazette,Fort Wayne,Allen,IN,"[41.079273, -85.1393513]",41.079273,-85.1393513
2169,News-Gazette The,Winchester,Randolph,IN,"[37.3183318, -121.9510491]",37.3183318,-121.9510491
2170,Tipton County Tribune,Tipton,Tipton,IN,"[40.2822598, -86.04109799999999]",40.2822598,-86.04109799999999
2171,Sullivan Daily Times,Sullivan,Sullivan,IN,"[37.09024, -95.712891]",37.09024,-95.712891
2172,Courier-Times The,New Castle,Henry,IN,"[39.6620397, -75.5668166]",39.6620397,-75.5668166
2173,News Sun The,Kendallville,Noble,IN,"[41.4414384, -85.2649754]",41.4414384,-85.2649754
2174,News-Times,Hartford City,Blackford,IN,"[40.451154, -85.36997199999999]",40.451154,-85.36997199999999
2175,Daily Reporter,Greenfield,Hancock,IN,"[39.785043, -85.7694226]",39.785043,-85.7694226
